city_name,country_name,latitude,longitude,temperature,humidity,cloudiness,wind_speed,retrieved
avarua,ck,-21.21,-159.78,78.8,74,92,13.87,03/16/2019
cape town,za,-33.93,18.42,70.68,60,0,6.93,03/16/2019
puerto ayora,ec,-0.74,-90.35,80.51,74,0,4.7,03/16/2019
vaini,to,-21.2,-175.2,73.4,100,20,3.36,03/16/2019
shubarkuduk,kz,49.15,56.49,36.64,52,48,13.11,03/16/2019
albany,au,-35.02,117.88,64.4,88,90,12.75,03/16/2019
atuona,pf,-9.8,-139.03,82.36,100,44,12.77,03/16/2019
rikitea,pf,-23.12,-134.97,77.77,100,80,21.83,03/16/2019
chokurdakh,ru,70.62,147.9,-10.79,72,76,3.71,03/16/2019
nizhniy kuranakh,ru,58.84,125.49,15.31,84,80,2.37,03/16/2019
ushuaia,ar,-54.81,-68.31,49.19,87,90,3.36,03/16/2019
carnarvon,au,-24.87,113.63,75.2,78,100,14.99,03/16/2019
hobart,au,-42.88,147.33,52.43,82,0,4.7,03/16/2019
dikson,ru,73.51,80.55,6.67,87,64,23.62,03/16/2019
muros,es,42.77,-9.06,56.52,76,0,10.29,03/16/2019
barrow,us,39.51,-90.4,37.51,59,1,6.93,03/16/2019
thompson,ca,55.74,-97.86,6.8,71,75,3.36,03/16/2019
maputo,mz,-25.97,32.57,86.81,55,20,12.75,03/16/2019
waipawa,nz,-39.94,176.59,61,92,0,2.59,03/16/2019
kahului,us,20.89,-156.47,66.61,78,75,9.17,03/16/2019
manadhoo,mv,5.77,73.38,84.79,97,32,11.88,03/16/2019
bathsheba,bb,13.22,-59.52,84.2,66,75,26.4,03/16/2019
lagoa,pt,37.14,-8.45,68.04,63,0,9.17,03/16/2019
mildura,au,-34.18,142.16,67.42,42,0,4.7,03/16/2019
tasiilaq,gl,65.61,-37.64,19.4,73,75,2.24,03/16/2019
hovd,mn,48.01,91.64,24.4,64,12,4.16,03/16/2019
port alfred,za,-33.59,26.89,76.59,92,36,5.99,03/16/2019
new norfolk,au,-42.78,147.06,52.45,82,0,4.7,03/16/2019
kaitangata,nz,-46.28,169.85,44.65,79,0,2.93,03/16/2019
luderitz,na,-26.65,15.16,66.79,85,0,12.77,03/16/2019
bluff,nz,-46.6,168.33,54,84,36,2.26,03/16/2019
khatanga,ru,71.98,102.47,-11.87,76,64,3.04,03/16/2019
belaya gora,ru,68.54,146.19,-22.67,33,32,2.71,03/16/2019
verkh-tula,ru,54.88,82.77,24.8,62,90,20.13,03/16/2019
kodiak,us,39.95,-94.76,40.68,41,1,9.17,03/16/2019
hilo,us,19.71,-155.08,62.19,82,90,6.93,03/16/2019
bredasdorp,za,-34.53,20.04,70.66,83,24,8.05,03/16/2019
tezpur,in,26.62,92.79,65.8,76,12,2.26,03/16/2019
jinchang,cn,38.52,102.19,16.57,48,32,4.16,03/16/2019
mackenzie,ca,55.34,-123.09,17.6,100,1,3.36,03/16/2019
