city_name,country_name,latitude,longitude,temperature,humidity,cloudiness,wind_speed
sfantu gheorghe,ro,44.65,26.83,62.31,45,0,26.4
puerto ayora,ec,-0.74,-90.35,77,78,0,3.36
tondela,pt,40.52,-8.08,65.97,72,0,8.05
atuona,pf,-9.8,-139.03,82.36,100,44,12.77
kapaa,us,22.08,-159.32,63.46,88,1,9.17
dikson,ru,73.51,80.55,6.67,87,64,23.62
ouesso,cg,1.61,16.05,87.49,63,20,2.93
busselton,au,-33.64,115.35,64.96,78,0,1.99
saint george,bm,32.38,-64.68,66.38,77,75,6.93
georgetown,sh,-7.93,-14.42,82.09,99,0,16.58
vaini,to,-21.2,-175.2,73.4,100,20,3.36
rio grande,br,-32.03,-52.1,80.6,69,75,14.99
pachino,it,36.72,15.09,60.26,67,0,9.17
esperance,au,-33.86,121.89,68,88,40,4.7
meulaboh,id,4.14,96.13,77.95,100,76,6.17
hithadhoo,mv,-0.6,73.08,79.48,100,92,1.59
rikitea,pf,-23.12,-134.97,77.77,100,80,21.83
port alfred,za,-33.59,26.89,80.82,88,36,7
mandera,ke,3.94,41.87,93,5,0,3
khuzdar,pk,27.8,66.62,54.55,63,80,2.37
bredasdorp,za,-34.53,20.04,80.6,65,24,8.05
punta arenas,cl,-53.16,-70.91,50.61,93,90,4.7
hilo,us,19.71,-155.08,63.32,93,90,8.05
bang saphan,th,11.21,99.51,82.63,81,44,3.27
palmas,br,-10.18,-48.33,71.6,100,75,8.05
khatanga,ru,71.98,102.47,-11.87,76,64,3.04
menongue,ao,-14.66,17.68,85.06,32,76,4.83
carutapera,br,-1.2,-46.02,82.81,85,92,7.07
coquimbo,cl,-29.95,-71.34,59,87,90,2.24
tasiilaq,gl,65.61,-37.64,20.53,100,48,2.59
yulara,au,-25.24,130.99,86,22,88,6.93
kapit,my,2.02,112.94,74.98,87,44,0.69
yellowknife,ca,62.45,-114.38,6.4,92,20,3.36
karasjok,no,69.47,25.52,35.6,51,0,20.8
beringovskiy,ru,63.05,179.32,3.25,90,88,19.04
surt,ly,31.21,16.59,62.83,76,0,8.41
batagay-alyta,ru,67.8,130.41,-30.59,0,0,2.37
katsuura,jp,33.93,134.5,46.83,61,75,11.41
tuktoyaktuk,ca,69.44,-133.03,-9.41,83,5,6.93
urussu,ru,54.6,53.47,22.6,85,76,6.62
ambon,id,-3.7,128.18,85.05,70,40,6.93
manadhoo,mv,5.77,73.38,84.79,97,32,11.88
ribeira grande,pt,38.52,-28.7,64.4,88,75,6.93
new norfolk,au,-42.78,147.06,53.26,76,0,5.82
mar del plata,ar,-46.43,-67.52,71.47,46,0,17.02
jiayuguan,cn,39.77,98.29,26.29,62,64,6.85
half moon bay,us,37.46,-122.43,43.93,75,40,4.5
kaitangata,nz,-46.28,169.85,44.65,79,0,2.93
havelock,us,34.88,-76.9,56.64,47,75,23.04
vila velha,br,-3.71,-38.6,77,88,75,4.7
carnarvon,au,-24.87,113.63,77,78,40,18.34
ushuaia,ar,-54.81,-68.31,48.38,93,90,4.7
avarua,ck,-21.21,-159.78,80.6,74,92,16.11
port-cartier,ca,50.03,-66.88,34.95,100,90,4.7
edd,er,13.93,41.69,92.17,40,20,6.17
jamestown,sh,-15.94,-5.72,76.51,100,64,13.22
albany,au,-35.02,117.88,66.2,82,40,11.41
souillac,mu,-20.52,57.52,84.85,70,40,8.05
pleasanton,us,37.66,-121.87,42.4,100,1,4.7
svetlogorsk,ru,53.14,59.15,24.8,68,12,6.71
agirish,ru,61.92,63.02,20.53,68,8,5.95
roros,no,62.57,11.38,30.2,63,12,1.12
pokhara,np,28.21,83.99,51.31,57,8,2.59
kota tinggi,my,1.73,103.9,82.71,88,75,8.05
mwanga,tz,-3.66,37.58,95,28,20,11.41
barrow,us,39.51,-90.4,32.65,78,1,3.36
necochea,ar,-38.55,-58.74,69.01,82,92,10
umm lajj,sa,25.02,37.27,70.84,71,0,17.69
mahebourg,mu,-20.41,57.7,84.85,70,40,8.05
prince rupert,ca,54.32,-130.32,46.4,70,90,13.87
kichmengskiy gorodok,ru,59.99,45.81,27.37,82,76,7.74
saint-philippe,re,-21.36,55.77,80.44,58,75,4.7
geraldton,au,-28.77,114.6,71.6,78,90,14.99
hermanus,za,-34.42,19.24,73.17,66,0,5.99
seguela,ci,7.96,-6.67,99.1,39,20,4.83
alamos,mx,27.02,-108.93,57.07,67,24,1.36
saldanha,za,-33.01,17.94,69.8,68,0,8.05
bluff,nz,-46.6,168.33,61,73,36,11.01
arraial do cabo,br,-22.97,-42.02,85.12,74,40,4.7
pringsewu,id,-5.36,104.98,75.7,91,80,2.04
port macquarie,au,-31.43,152.91,67.15,88,90,4.7
cape town,za,-33.93,18.42,72.9,64,0,9.17
saskylakh,ru,71.97,114.09,-4.49,66,76,8.97
davila,ph,18.47,120.58,82.4,61,20,5.82
skibbereen,ie,51.55,-9.27,48.2,87,75,20.8
marsh harbour,bs,26.54,-77.06,74.44,100,0,2.59
anloga,gh,5.79,0.9,89.6,66,20,10.29
capao da canoa,br,-29.75,-50.01,77.23,96,8,11.65
tiksi,ru,71.64,128.87,-25.46,38,8,2.37
barnala,in,30.38,75.54,64.27,59,80,7.96
frontera,mx,18.53,-92.64,73.4,94,90,6.93
oranjestad,aw,12.52,-70.03,82.4,69,20,24.16
poum,nc,-20.23,164.02,80.47,100,24,6.4
bilma,ne,18.69,12.92,88.12,16,0,6.96
